"Partnumber","Description","Qty in Stock" as text,"Qty in Stock","UM","S.O. Qty Open" as text,"S.O. Qty Open","P.O. Qty Open" as text,"P.O. Qty Open","NSN","Alt","MFG","MFG Name","Recommended Vendor","Buy/Make" as text,"Buy/Make","Cond","Consigned" as text,"Consigned","Rev","QA/Inspc" as text,"QA/Inspc","Transport" as text,"Transport","Quarantine" as text,"Quarantine","Category","Type","Lead Time","Range" as text,"Range","Asset Type" as text,"Asset Type","ATA Chapter","Trim Numeric","Punctuation","Schedule B","ECCN","BOM","Image(s)"
"11RD1.25T351",="2011-T351 CF Round Bar 1-1/4"" x 144""","594.520","594.52","LB","0.000","0","0.000","0","","","","","","Buy","B","NE","0.000","0","","0.000","0","0.000","0","0.000","0","A","RD","",,"","Raw Material","R","",="11125351",="11RD125T351","","","",""
"11RD1.3125T3",="2011-T3 CF Round Bar 1-5/16"" x 144""","1,134.000","1134","LB","0.000","0","0.000","0","","","","","","Buy","B","NE","0.000","0","","0.000","0","0.000","0","0.000","0","A","RD","",,"","Raw Material","R","",="11131253",="11RD13125T3","","","",""
"11RD1.375T3",="2011-T3 CF Round Bar 1-3/8"" X 144""","1,353.000","1353","LB","0.000","0","0.000","0","","","","","","Buy","B","NE","0.000","0","","0.000","0","0.000","0","0.000","0","A","RD","",,"","Raw Material","R","",="1113753",="11RD1375T3","","","",""
"11RD1.5T3",="2011-T3 CF Round Bar 1-1/2"" x 144""","1,515.684","1515.684","LB","0.000","0","0.000","0","","","","","","Buy","B","NE","0.000","0","","0.000","0","0.000","0","0.000","0","A","RD","",,"","Raw Material","R","",="11153",="11RD15T3","","","",""
"11RD1.625T3",="2011-T3 CF Round Bar 1-5/8"" X 144""","785.000","785","LB","0.000","0","0.000","0","","","","","","Buy","B","NE","0.000","0","","0.000","0","0.000","0","0.000","0","A","RD","",,"","Raw Material","R","",="1116253",="11RD1625T3","","","",""
"11RD1.75T3",="2011-T3 CF Round Bar 1-3/4"" X 144""","602.331","602.331","LB","0.000","0","0.000","0","","","","","","Buy","B","NE","0.000","0","","0.000","0","0.000","0","0.000","0","A","RD","",,"","Raw Material","R","",="111753",="11RD175T3","","","",""
="11RD10MMT3",="2011-T3 CF Round Bar 10mm x 144""","911.000","911","LB","0.000","0","0.000","0","","","","","","Buy","B","NE","0.000","0","","0.000","0","0.000","0","0.000","0","A","RD","",,"","Raw Material","R","",="11103",="11RD10MMT3","","","",""
="11RD1T3",="2011-T3 CF Round Bar 1"" x 144""","3,599.000","3599","LB","0.000","0","0.000","0","","","","","","Buy","B","NE","0.000","0","","0.000","0","0.000","0","0.000","0","A","RD","",,"","Raw Material","R","",="1113",="11RD1T3","","","",""
"11RD2.125T3",="2011-T3 Round Bar 2-1/8"" x 144""","2,128.380","2128.38","LB","0.000","0","0.000","0","","","","","","Buy","B","NE","0.000","0","","0.000","0","0.000","0","0.000","0","A","RD","",,"","Raw Material","R","",="1121253",="11RD2125T3","","","",""
"11RD2.25T3",="2011-T3 CF Round Bar 2-1/4""","2,939.200","2939.2","LB","0.000","0","0.000","0","","","","","","Buy","B","NE","0.000","0","","0.000","0","0.000","0","0.000","0","A","RD","",,"","Raw Material","R","",="112253",="11RD225T3","","","",""
"11RD2.5T3",="2011-T3 CF Round Bar 2-1/2"" x 144""","795.250","795.25","LB","0.000","0","0.000","0","","","","","","Buy","B","NE","0.000","0","","0.000","0","0.000","0","0.000","0","A","RD","",,"","Raw Material","R","",="11253",="11RD25T3","","","",""
"11RD2.75T3",="2011-T3 CF Round Bar 2-3/4"" X 144""","1,138.000","1138","LB","0.000","0","0.000","0","","","","","","Buy","B","NE","0.000","0","","0.000","0","0.000","0","0.000","0","A","RD","",,"","Raw Material","R","",="112753",="11RD275T3","","","",""
="11RD2T3",="2011-T3 CF Round Bar 2"" x 144""","411.160","411.16","LB","0.000","0","0.000","0","","","","","","Buy","B","NE","0.000","0","","0.000","0","0.000","0","0.000","0","A","RD","",,"","Raw Material","R","",="1123",="11RD2T3","","","",""
="138RD6-14","PH13-8Mo -SS Round Bar 6"" x 14""","0.000","0","LB","0.000","0","0.000","0","","","","","","Buy","B","NE","0.000","0","","0.000","0","0.000","0","0.000","0","S","RD","",,"","Raw Material","R","",="138614",="138RD614","","","",""
"155RD.5","15-5-SS Round Bar (VAR) 1/2"" (P/M .002"")","0.000","0","LB","0.000","0","22,000.000","22000","","","","","","Buy","B","NE","0.000","0","","0.000","0","0.000","0","0.000","0","S","RD","",,"","Raw Material","R","",="1555",="155RD5","","","",""
"155RD.75",="15-5-SS Round Bar (ESR) 3/4""","0.000","0","LB","0.000","0","0.000","0","","","","","","Buy","B","NE","0.000","0","","0.000","0","0.000","0","0.000","0","S","RD","",,"","Raw Material","R","",="15575",="155RD75","","","",""
"155RD1.75",="15-5-SS Round Bar (ESR) 1-3/4""","0.000","0","LB","0.000","0","0.000","0","","","","","","Buy","B","NE","0.000","0","","0.000","0","0.000","0","0.000","0","S","RD","",,"","Raw Material","R","",="155175",="155RD175","","","",""
