"Partnumber","Description","Qty in Stock" as text,"Qty in Stock","UM","S.O. Qty Open" as text,"S.O. Qty Open","P.O. Qty Open" as text,"P.O. Qty Open","NSN","Alt","MFG","Rev","MFG Name","Recommended Vendor","Buy/Make" as text,"Buy/Make","Cond","Consigned" as text,"Consigned","QA/Inspc" as text,"QA/Inspc","Transport" as text,"Transport","Quarantine" as text,"Quarantine","Category","Type","Lead Time","Range" as text,"Range","Asset Type" as text,"Asset Type","ATA Chapter","Trim Numeric","Punctuation","Schedule B","ECCN","BOM","Image(s)"
"50PL3T7451-USI-48.5-144.5","7050-T7451 USI Plate 3"" x 48.5"" 144.5""","0.000","0","LB","0.000","0","0.000","0","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","PL","",,"","Raw Material","R","",="50374514851445",="50PL3T7451USI4851445","","","",""
"50PL3T7451-USI-60.5-144.5","7050-T7451 USI Plate 3"" x 60.5"" x 144.5""","0.000","0","LB","0.000","0","0.000","0","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","PL","",,"","Raw Material","R","",="50374516051445",="50PL3T7451USI6051445","","","",""
="50PL4T7451-USI",="7050-T7451 USI Plate 4""","0.000","0","LB","0.000","0","0.000","0","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","PL","",,"","Raw Material","R","",="5047451",="50PL4T7451USI","","","",""
"50PL4T7451-USI-48.5-144.5","7050-T7451 4"" x 48.5"" x 144.5""","0.000","0","LB","0.000","0","0.000","0","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","PL","",,"","Raw Material","R","",="50474514851445",="50PL4T7451USI4851445","","","",""
"50PL4T7451-USI-60.5-144.5","7050-T7451 USI Plate 4"" x 60.5"" x 144.5""","10,815.000","10815","LB","0.000","0","0.000","0","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","PL","",,"","Raw Material","R","",="50474516051445",="50PL4T7451USI6051445","","","",""
="50PL5T7451",="7050-T7451 USI Plate 5""","694.169","694.169","LB","0.000","0","0.000","0","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","PL","",,"","Raw Material","R","",="5057451",="50PL5T7451","","","",""
"50PL5T7451-USI-48.5-144.5","7050-T7451 USI Plate 5"" x 48.5"" x 144.5""","0.000","0","LB","0.000","0","0.000","0","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","PL","",,"","Raw Material","R","",="50574514851445",="50PL5T7451USI4851445","","","",""
"50PL5T7451-USI-60.5-144.5","7050-T7451 USI Plate 5"" x 60.5"" x 144.5""","4,520.000","4520","LB","0.000","0","0.000","0","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","PL","",,"","Raw Material","R","",="50574516051445",="50PL5T7451USI6051445","","","",""
="50PL6T7451-USI",="7050-T7451 USI Plate 6""","4,594.620","4594.62","LB","0.000","0","0.000","0","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","PL","",,"","Raw Material","R","",="5067451",="50PL6T7451USI","","","",""
"50PL6T7451-USI-60.5-144.5","7050-T7451 USI Plate 6"" x 60.5"" x 144.5""","10,860.000","10860","LB","0.000","0","0.000","0","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","PL","",,"","Raw Material","R","",="50674516051445",="50PL6T7451USI6051445","","","",""
="50PL7T7451-USI",="7050-T7451 USI Plate 7""","0.000","0","LB","0.000","0","0.000","0","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","PL","",,"","Raw Material","R","",="5077451",="50PL7T7451USI","","","",""
"50PL7T7451-USI-60.5-144.5","7050-T7451 USI Plate 7"" x 60.5"" x 144.5""","0.000","0","LB","0.000","0","11,600.000","11600","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","PL","",,"","Raw Material","R","",="50774516051445",="50PL7T7451USI6051445","","","",""
"52CL.040H32-48","5052 H32 COIL .040"" X 48"" WIDE","10,320.000","10320","LB","0.000","0","0.000","0","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","CL","",,"","Raw Material","R","",="520403248",="52CL040H3248","","","",""
"52CL.040H32-60","5052 H32 COIL .040"" X 60"" WIDE","0.000","0","LB","0.000","0","0.000","0","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","CL","",,"","Raw Material","R","",="520403260",="52CL040H3260","","","",""
"52CL.050H32-48","5052-H32 COIL .050"" x 48"" WIDE","11,684.000","11684","LB","0.000","0","0.000","0","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","CL","",,"","Raw Material","R","",="520503248",="52CL050H3248","","","",""
"52CL.063H32-36","5052-H32 COIL .063"" x 36"" WIDE","0.000","0","LB","0.000","0","0.000","0","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","CL","",,"","Raw Material","R","",="520633236",="52CL063H3236","","","",""
"52CL.063H32-48","5052-H32 COIL .063"" x 48"" WIDE","0.000","0","LB","0.000","0","0.000","0","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","CL","",,"","Raw Material","R","",="520633248",="52CL063H3248","","","",""
"52CL.080H32-36","5052-H32 COIL .080"" x 36"" WIDE","0.000","0","LB","0.000","0","0.000","0","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","CL","",,"","Raw Material","R","",="520803236",="52CL080H3236","","","",""
"52CL.080H32-48","5052-H32 COIL .080"" x 48"" WIDE","20,577.923","20577.923","LB","0.000","0","0.000","0","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","CL","",,"","Raw Material","R","",="520803248",="52CL080H3248","","","",""
"52CL.080H32-60","5052 H32 COIL .080"" x 60"" WIDE","0.000","0","LB","0.000","0","0.000","0","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","CL","",,"","Raw Material","R","",="520803260",="52CL080H3260","","","",""
"52CL.090H32-48","5052-H32 COIL .090"" x 48"" WIDE","19,405.065","19405.065","LB","0.000","0","0.000","0","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","CL","",,"","Raw Material","R","",="520903248",="52CL090H3248","","","",""
"52CL.090H32-60","5052 H32 COIL .090"" X 60"" WIDE","0.000","0","LB","0.000","0","0.000","0","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","CL","",,"","Raw Material","R","",="520903260",="52CL090H3260","","","",""
"52CL.100H32-36","5052-H32 COIL .100"" x 36""WIDE","0.000","0","LB","0.000","0","0.000","0","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","CL","",,"","Raw Material","R","",="521003236",="52CL100H3236","","","",""
"52CL.125H32-36","5052-H32 COIL .125"" x 36"" WIDE","10,061.000","10061","LB","0.000","0","0.000","0","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","CL","",,"","Raw Material","R","",="521253236",="52CL125H3236","","","",""
"52CL.125H32-48","5052-H32 COIL .125"" x 48"" WIDE","0.000","0","LB","0.000","0","0.000","0","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","CL","",,"","Raw Material","R","",="521253248",="52CL125H3248","","","",""
"52CL.125H32-60","5052-H32 COIL .125"" x 60"" WIDE","11,978.000","11978","LB","0.000","0","24,162.000","24162","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","CL","",,"","Raw Material","R","",="521253260",="52CL125H3260","","","",""
"52CL.160H32-48","5052-H32 COIL .160"" x 48"" WIDE","24,554.000","24554","LB","0.000","0","0.000","0","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","CL","",,"","Raw Material","R","",="521603248",="52CL160H3248","","","",""
"52CL.188H32-48","5052-H32 COIL .188"" x 48"" WIDE","10,516.037","10516.037","LB","0.000","0","0.000","0","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","CL","",,"","Raw Material","R","",="521883248",="52CL188H3248","","","",""
"52CL.25H32-48","5052 H32 COIL .25"" x 48"" WIDE","0.000","0","LB","0.000","0","0.000","0","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","CL","",,"","Raw Material","R","",="52253248",="52CL25H3248","","","",""
"52CL.25H32-60","5052-H32 COIL .25"" x 60"" Wide","45.000","45","LB","0.000","0","0.000","0","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","CL","",,"","Raw Material","R","",="52253260",="52CL25H3260","","","",""
"52PL.25H32","5052-H32 Plate .25""","27,940.196","27940.196","LB","0.000","0","0.000","0","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","PL","",,"","Raw Material","R","",="522532",="52PL25H32","","","",""
"52PL.25H32-33.75-106.375","5052 H32 Plate .25"" x 33.75"" x 106.375""","0.000","0","LB","0.000","0","0.000","0","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","PL","",,"","Raw Material","R","",="5225323375106375",="52PL25H323375106375","","","",""
"52PL.25H32-48-120","5052-H32 Plate .25"" x 48"" x 120""","3,767.500","3767.5","LB","0.000","0","0.000","0","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","PL","",,"","Raw Material","R","",="52253248120",="52PL25H3248120","","","",""
